,Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Distance_category,Rarity_Price
8234,Honda,Jazz,2002,Minivan,320000.0,1400.0,Petrol,Manual,3300.0,20,16000.0,Middle mileage,Average rarity
8235,Renault,Grand Scenic,2014,Minivan,203500.0,1500.0,Diesel,Manual,8900.0,8,25437.5,High mileage,Average rarity
8236,Toyota,Corolla,2008,Sedan,286000.0,1400.0,Diesel,Automatic,6800.0,14,20428.571428571428,High mileage,Average rarity
8237,Ford,Fiesta 5D,2011,Hatchback,196000.0,1300.0,Petrol,Manual,3650.0,11,17818.18181818182,Middle mileage,Average rarity
8238,Vaz,2121niva,2011,SUV,10000.0,1700.0,Metan/Propan,Manual,6500.0,11,909.0909090909091,Middle mileage,Rare_Cheap
8239,Lexus,IS Series,2014,Sedan,156000.0,2500.0,Hybrid,Automatic,21000.0,8,19500.0,Middle mileage,Average rarity
8240,Audi,A6,2006,Universal,312000.0,2000.0,Diesel,Automatic,8500.0,16,19500.0,Middle mileage,Average rarity
8241,Honda,CR-V,2008,SUV,123000.0,2400.0,Petrol,Automatic,9500.0,14,8785.714285714286,Middle mileage,Average rarity
8242,Mercedes,Viano,2012,Minivan,216000.0,2200.0,Diesel,Manual,15999.0,10,21600.0,High mileage,Average rarity
8243,Ford,Focus,2015,Sedan,86000.0,1999.0,Petrol,Automatic,6500.0,7,12285.714285714286,Middle mileage,Average rarity
8244,Chevrolet,Trax,2014,Universal,65200.0,1400.0,Petrol,Manual,7800.0,8,8150.0,Middle mileage,Rare_Cheap
8245,Renault,Grand Scenic,2013,Minivan,200000.0,1500.0,Diesel,Manual,6900.0,9,22222.222222222223,High mileage,Average rarity
8246,Volkswagen,Golf,2008,Universal,220000.0,1400.0,Petrol,Manual,4800.0,14,15714.285714285714,Middle mileage,Average rarity
8247,Dacia,Logan,2006,Sedan,215928.0,1400.0,Metan/Propan,Manual,2500.0,16,13495.5,Middle mileage,Average rarity
8248,Audi,A5,2015,Sedan,135000.0,2000.0,Diesel,Automatic,18900.0,7,19285.714285714286,Middle mileage,Average rarity
8249,Infiniti,Q Series,2016,Crossover,90000.0,1500.0,Diesel,Automatic,15500.0,6,15000.0,Middle mileage,Rare_Expensive
8250,BMW,X3,2007,SUV,205000.0,2000.0,Diesel,Manual,9500.0,15,13666.666666666666,Middle mileage,Average rarity
8251,Mitsubishi,Pajero,1983,SUV,122500.0,2800.0,Diesel,Manual,10000.0,39,3141.025641025641,Middle mileage,Average rarity
8252,Hyundai,IONIQ,2017,Hatchback,95459.0,1580.0,Hybrid,Automatic,12660.0,5,19091.8,Middle mileage,Average rarity
8253,Skoda,Superb,2008,Sedan,600000.0,2500.0,Diesel,Manual,5555.0,14,42857.142857142855,High mileage,Average rarity
8254,Skoda,Octavia,2012,Universal,240000.0,2000.0,Diesel,Manual,9800.0,10,24000.0,High mileage,Average rarity
8255,Skoda,Octavia,1999,Sedan,359735.0,1900.0,Diesel,Manual,3999.0,23,15640.652173913044,Middle mileage,Average rarity
8256,Renault,Megane,2006,Universal,125000.0,1500.0,Diesel,Manual,3750.0,16,7812.5,Middle mileage,Average rarity
8257,Lexus,GS Series,2014,Sedan,178000.0,2500.0,Hybrid,Automatic,21200.0,8,22250.0,High mileage,Average rarity
8258,Toyota,C-HR,2018,Crossover,82000.0,1800.0,Hybrid,Automatic,17500.0,4,20500.0,High mileage,Average rarity
8259,Vaz,2101,1973,Sedan,55500.0,1000.0,Petrol,Manual,1000.0,49,1132.6530612244899,Middle mileage,Rare_Cheap
8260,Opel,Corsa,2007,Hatchback,199124.0,1300.0,Diesel,Manual,3800.0,15,13274.933333333332,Middle mileage,Average rarity
8261,Mercedes,B Class,2008,Hatchback,245000.0,1500.0,Petrol,Manual,5450.0,14,17500.0,Middle mileage,Average rarity
8262,Honda,Insight,2009,Hatchback,172000.0,1300.0,Hybrid,Automatic,5800.0,13,13230.76923076923,Middle mileage,Average rarity
8263,Skoda,Superb,2016,Sedan,215000.0,1968.0,Diesel,Automatic,17000.0,6,35833.333333333336,High mileage,Average rarity
8264,Toyota,Carina,1996,Universal,410000.0,2000.0,Diesel,Manual,2500.0,26,15769.23076923077,Middle mileage,Average rarity
8265,Volkswagen,Passat,1999,Universal,235000.0,2300.0,Metan/Propan,Manual,2700.0,23,10217.391304347826,Middle mileage,Average rarity
8266,BMW,3 Series,1996,Sedan,258063.0,1800.0,Petrol,Manual,2300.0,26,9925.5,Middle mileage,Average rarity
8267,Toyota,Yaris,2006,Hatchback,600000.0,1400.0,Diesel,Manual,3333.0,16,37500.0,High mileage,Average rarity
8268,Ford,Kuga,2018,SUV,118700.0,1500.0,Diesel,Automatic,16750.0,4,29675.0,High mileage,Average rarity
8269,Volkswagen,Passat,1995,Sedan,450000.0,2000.0,Petrol,Manual,1500.0,27,16666.666666666668,Middle mileage,Average rarity
8270,Skoda,Superb,2014,Sedan,91000.0,2000.0,Petrol,Automatic,13500.0,8,11375.0,Middle mileage,Average rarity
8271,Renault,Grand Scenic,2011,Universal,214567.0,1500.0,Diesel,Manual,6650.0,11,19506.090909090908,Middle mileage,Average rarity
8272,Lexus,CT Series,2011,Hatchback,159000.0,1800.0,Petrol,Automatic,10399.0,11,14454.545454545454,Middle mileage,Average rarity
8273,Mercedes,Viano,2005,Universal,574000.0,2200.0,Diesel,Automatic,6800.0,17,33764.705882352944,High mileage,Average rarity
8274,Ford,Focus,2000,Sedan,202879.0,1600.0,Petrol,Manual,1899.0,22,9221.772727272728,Middle mileage,Average rarity
8275,Lexus,IS Series,2016,Sedan,87545.0,2000.0,Petrol,Automatic,16999.0,6,14590.833333333334,Middle mileage,Average rarity
8276,Mercedes,GLK Class,2013,Crossover,172000.0,2200.0,Diesel,Automatic,18699.0,9,19111.11111111111,Middle mileage,Average rarity
8277,Mazda,6,2006,Universal,350000.0,1998.0,Diesel,Manual,4600.0,16,21875.0,High mileage,Rare_Cheap
8278,Subaru,Impreza,2010,Sedan,128000.0,2500.0,Petrol,Manual,10000.0,12,10666.666666666666,Middle mileage,Rare_Expensive
8279,Toyota,Auris,2014,Universal,138000.0,1800.0,Hybrid,Automatic,11200.0,8,17250.0,Middle mileage,Average rarity
8280,BMW,3 Series,2000,Sedan,274622.0,2000.0,Diesel,Automatic,2750.0,22,12482.818181818182,Middle mileage,Average rarity
8281,Toyota,Yaris,2007,Hatchback,240000.0,1364.0,Diesel,Manual,4400.0,15,16000.0,Middle mileage,Average rarity
8282,Skoda,Octavia,2014,Combi,152000.0,1400.0,Petrol,Manual,7799.0,8,19000.0,Middle mileage,Average rarity
8283,Renault,Megane,2013,Hatchback,167000.0,1500.0,Diesel,Manual,5950.0,9,18555.555555555555,Middle mileage,Average rarity
8284,Mitsubishi,Galant,2008,Sedan,191000.0,2400.0,Metan/Propan,Automatic,5200.0,14,13642.857142857143,Middle mileage,Average rarity
8285,BMW,3 Series,2007,Sedan,264000.0,1995.0,Diesel,Manual,7800.0,15,17600.0,Middle mileage,Average rarity
8286,Jaguar,Xf,2013,Sedan,120000.0,2000.0,Petrol,Automatic,16800.0,9,13333.333333333334,Middle mileage,Rare_Expensive
8287,Hyundai,Grandeur,2016,Sedan,132370.0,2199.0,Diesel,Automatic,16500.0,6,22061.666666666668,High mileage,Average rarity
8288,Ford,S-Max,2010,Minivan,265000.0,2000.0,Diesel,Automatic,6500.0,12,22083.333333333332,High mileage,Average rarity
8289,Honda,CR-V,2013,SUV,100000.0,2200.0,Diesel,Automatic,17000.0,9,11111.111111111111,Middle mileage,Average rarity
8290,Toyota,Yaris,2006,Hatchback,232000.0,1400.0,Diesel,Manual,2750.0,16,14500.0,Middle mileage,Average rarity
8291,Chevrolet,Aveo,2013,Hatchback,168000.0,1300.0,Diesel,Manual,4650.0,9,18666.666666666668,Middle mileage,Rare_Cheap
8292,Opel,Meriva,2012,Hatchback,152000.0,1300.0,Diesel,Manual,5750.0,10,15200.0,Middle mileage,Average rarity
8293,KIA,Sportage,2015,SUV,134953.0,1995.0,Diesel,Automatic,12800.0,7,19279.0,Middle mileage,Average rarity
8294,Toyota,Rav 4,2007,Crossover,240000.0,1998.0,Metan/Propan,Automatic,9000.0,15,16000.0,Middle mileage,Average rarity
8295,Lexus,RX Series,2014,SUV,90000.0,3500.0,Hybrid,Automatic,25000.0,8,11250.0,Middle mileage,Average rarity
8296,BMW,5 Series,2008,Sedan,235000.0,200.0,Diesel,Automatic,11500.0,14,16785.714285714286,Middle mileage,Average rarity
8297,Mitsubishi,Outlander,2006,SUV,330000.0,2400.0,Petrol,Automatic,5000.0,16,20625.0,High mileage,Average rarity
8298,Hyundai,Santa FE,2018,SUV,73622.0,2199.0,Diesel,Automatic,26720.0,4,18405.5,Middle mileage,Average rarity
8299,Volvo,XC60,2012,Crossover,174000.0,200.0,Diesel,Manual,17100.0,10,17400.0,Middle mileage,Average rarity
8300,Lexus,RX Series,2013,Crossover,180000.0,2700.0,Petrol,Automatic,21500.0,9,20000.0,High mileage,Average rarity
8301,Toyota,Aygo,2013,Hatchback,80000.0,1000.0,Petrol,Manual,4200.0,9,8888.888888888889,Middle mileage,Average rarity
8302,Renault,Grand Scenic,2013,Minivan,195000.0,1500.0,Diesel,Manual,7300.0,9,21666.666666666668,High mileage,Average rarity
8303,Toyota,Corolla,2005,Minivan,250000.0,1800.0,Metan/Propan,Manual,5700.0,17,14705.882352941177,Middle mileage,Average rarity
8304,Hyundai,Tucson,2017,SUV,160152.0,1995.0,Diesel,Automatic,15720.0,5,32030.4,High mileage,Average rarity
8305,Skoda,Superb,2015,Sedan,65600.0,2000.0,Diesel,Automatic,24000.0,7,9371.42857142857,Middle mileage,Average rarity
8306,Toyota,Auris,2015,Hatchback,200000.0,1400.0,Diesel,Manual,8650.0,7,28571.428571428572,High mileage,Average rarity
8307,BMW,5 Series,2005,Sedan,280000.0,2200.0,Petrol,Manual,7499.0,17,16470.58823529412,Middle mileage,Average rarity
8308,Skoda,Yeti,2011,Crossover,170000.0,1200.0,Petrol,Manual,6700.0,11,15454.545454545454,Middle mileage,Average rarity
8309,Toyota,Land Cruiser Prado,2014,SUV,130000.0,2700.0,Petrol,Automatic,26000.0,8,16250.0,Middle mileage,Average rarity
8310,Opel,Corsa,2012,Hatchback,138000.0,1248.0,Diesel,Manual,5100.0,10,13800.0,Middle mileage,Average rarity
8311,Opel,Zafira,2008,Minivan,230000.0,1598.0,Metan/Propan,Manual,5700.0,14,16428.571428571428,Middle mileage,Average rarity
8312,Hyundai,Santa FE,2015,SUV,181313.0,1995.0,Diesel,Automatic,15610.0,7,25901.85714285714,High mileage,Average rarity
8313,BMW,X5,2007,SUV,210000.0,3000.0,Diesel,Automatic,7000.0,15,14000.0,Middle mileage,Average rarity
8314,Toyota,Avensis,2005,Universal,310000.0,2000.0,Diesel,Manual,6000.0,17,18235.29411764706,Middle mileage,Average rarity
8315,KIA,Sorento,2016,SUV,166354.0,1995.0,Diesel,Automatic,17050.0,6,27725.666666666668,High mileage,Average rarity
8316,Opel,Zafira,2006,Minivan,186000.0,1800.0,Metan/Propan,Manual,6000.0,16,11625.0,Middle mileage,Average rarity
8317,Toyota,Auris,2013,Hatchback,254000.0,1364.0,Diesel,Manual,8000.0,9,28222.222222222223,High mileage,Average rarity
8318,Nissan,Note,2013,Sedan,217500.0,1500.0,Diesel,Manual,5999.0,9,24166.666666666668,High mileage,Average rarity
8319,Skoda,Superb,2010,Sedan,175000.0,1900.0,Diesel,Manual,10580.0,12,14583.333333333334,Middle mileage,Average rarity
8320,Audi,Q5,2012,Crossover,181767.0,2000.0,Petrol,Automatic,15700.0,10,18176.7,Middle mileage,Average rarity
8321,Volvo,XC60,2011,SUV,180000.0,2400.0,Diesel,Automatic,16650.0,11,16363.636363636364,Middle mileage,Average rarity
8322,Mitsubishi,Pajero Sport,2003,SUV,229000.0,3000.0,Metan/Propan,Automatic,7800.0,19,12052.631578947368,Middle mileage,Average rarity
8323,BMW,5 Series,2014,Sedan,150000.0,2000.0,Diesel,Automatic,20999.0,8,18750.0,Middle mileage,Average rarity
8324,Vaz,2121niva,1989,Hatchback,101000.0,1600.0,Petrol,Manual,400.0,33,3060.6060606060605,Middle mileage,Rare_Cheap
8325,Honda,CR-V,2011,Minivan,126000.0,2200.0,Diesel,Automatic,15850.0,11,11454.545454545454,Middle mileage,Average rarity
8326,Toyota,Camry,2017,Sedan,54500.0,2500.0,Hybrid,Automatic,17500.0,5,10900.0,Middle mileage,Average rarity
8327,Audi,Q3,2016,Crossover,50900.0,1998.0,Petrol,Automatic,19000.0,6,8483.333333333334,Middle mileage,Average rarity
8328,Volkswagen,Passat,2006,Sedan,400000.0,2000.0,Petrol,Manual,5500.0,16,25000.0,High mileage,Average rarity
8329,Lexus,IS Series,2017,Sedan,50320.0,1998.0,Petrol,Automatic,23000.0,5,10064.0,Middle mileage,Average rarity
8330,Nissan,Juke,2011,Crossover,200000.0,1500.0,Diesel,Manual,7000.0,11,18181.81818181818,Middle mileage,Average rarity
8331,Renault,Megane,2004,Hatchback,225332.0,1400.0,Petrol,Manual,2300.0,18,12518.444444444445,Middle mileage,Average rarity
8332,Renault,Megane,2006,Hatchback,260000.0,1500.0,Diesel,Manual,2950.0,16,16250.0,Middle mileage,Average rarity
8333,BMW,5 Series,2009,Sedan,245000.0,2000.0,Diesel,Automatic,11999.0,13,18846.153846153848,Middle mileage,Average rarity
8334,Dacia,Logan Mcv,2009,Universal,190000.0,1500.0,Diesel,Manual,3599.0,13,14615.384615384615,Middle mileage,Average rarity
8335,Opel,Astra,2008,Hatchback,123000.0,1400.0,Petrol,Manual,3299.0,14,8785.714285714286,Middle mileage,Average rarity
8336,Toyota,Corolla,2007,Hatchback,190000.0,1400.0,Diesel,Automatic,4899.0,15,12666.666666666666,Middle mileage,Average rarity
8337,Volkswagen,Golf,2012,Universal,123000.0,1600.0,Diesel,Manual,5900.0,10,12300.0,Middle mileage,Average rarity
8338,Audi,A5,2013,Coupe,102481.0,2000.0,Petrol,Automatic,15500.0,9,11386.777777777777,Middle mileage,Average rarity
8339,Honda,Clarity,2018,Sedan,24968.0,1500.0,Plug-in Hybrid,Automatic,16999.0,4,6242.0,Middle mileage,Average rarity
8340,Renault,Megane,2008,Universal,190000.0,1500.0,Diesel,Manual,2799.0,14,13571.42857142857,Middle mileage,Average rarity
8341,Opel,Corsa,2016,Hatchback,10000.0,1400.0,Petrol,Automatic,3799.0,6,1666.6666666666667,Middle mileage,Average rarity
8342,Nissan,Note,2009,Universal,187000.0,1500.0,Diesel,Manual,3200.0,13,14384.615384615385,Middle mileage,Average rarity
8343,Honda,CR-V,2016,SUV,115000.0,2200.0,Diesel,Automatic,14500.0,6,19166.666666666668,Middle mileage,Average rarity
8344,Dacia,Logan,2012,Sedan,187000.0,1500.0,Diesel,Manual,2950.0,10,18700.0,Middle mileage,Average rarity
8345,Renault,Megane,2013,Universal,187000.0,1500.0,Diesel,Manual,4500.0,9,20777.777777777777,High mileage,Average rarity
8346,Opel,Corsa,2006,Hatchback,187000.0,1300.0,Diesel,Automatic,2600.0,16,11687.5,Middle mileage,Average rarity
8347,Chevrolet,Aveo,2008,Sedan,190000.0,1200.0,Metan/Propan,Manual,2250.0,14,13571.42857142857,Middle mileage,Rare_Cheap
8348,Volkswagen,Touran,2015,Minivan,190000.0,2000.0,Diesel,Manual,5699.0,7,27142.85714285714,High mileage,Average rarity
8349,Toyota,Yaris,2009,Hatchback,122000.0,1400.0,Diesel,Automatic,3499.0,13,9384.615384615385,Middle mileage,Average rarity
8350,Opel,Astra,2006,Universal,163000.0,1600.0,Metan/Propan,Manual,2699.0,16,10187.5,Middle mileage,Average rarity
8351,Volkswagen,Polo,2014,Hatchback,40000.0,1400.0,Petrol,Automatic,4699.0,8,5000.0,Middle mileage,Average rarity
8352,Opel,Astra,2015,Sedan,40000.0,1600.0,Petrol,Automatic,5699.0,7,5714.285714285715,Middle mileage,Average rarity
8353,BMW,7 Series,2007,Sedan,122000.0,4000.0,Metan/Propan,Automatic,9799.0,15,8133.333333333333,Middle mileage,Average rarity
8354,Volkswagen,Phaeton,2014,Sedan,40000.0,3000.0,Diesel,Automatic,6599.0,8,5000.0,Middle mileage,Average rarity
8355,Land Rover,Range Rover Evoque,2015,SUV,40000.0,2200.0,Diesel,Automatic,7699.0,7,5714.285714285715,Middle mileage,Rare_Cheap
8356,Toyota,Rav 4,2012,Crossover,190000.0,2200.0,Diesel,Automatic,7599.0,10,19000.0,Middle mileage,Average rarity
8357,Audi,A5,2009,Coupe,144000.0,2700.0,Diesel,Automatic,3850.0,13,11076.923076923076,Middle mileage,Average rarity
8358,Toyota,Corolla,2002,Universal,432000.0,1600.0,Metan/Propan,Manual,2999.0,20,21600.0,High mileage,Average rarity
8359,Hyundai,Tucson,2009,Crossover,201000.0,2000.0,Metan/Propan,Automatic,7600.0,13,15461.538461538461,Middle mileage,Average rarity
8360,BMW,5 Series,2002,Sedan,299000.0,2500.0,Diesel,Automatic,3800.0,20,14950.0,Middle mileage,Average rarity
8361,Hyundai,i40,2012,Sedan,219326.0,1700.0,Diesel,Manual,8500.0,10,21932.6,High mileage,Average rarity
8362,Lexus,Es Series,2013,Sedan,102000.0,2500.0,Hybrid,Automatic,16300.0,9,11333.333333333334,Middle mileage,Average rarity
8363,Nissan,Almera,2001,Hatchback,356000.0,1500.0,Metan/Propan,Manual,2600.0,21,16952.380952380954,Middle mileage,Average rarity
8364,Toyota,Yaris,2003,Hatchback,218000.0,1000.0,Petrol,Manual,1900.0,19,11473.684210526315,Middle mileage,Average rarity
8365,Volkswagen,Golf,2012,Hatchback,183000.0,1400.0,Petrol,Manual,7499.0,10,18300.0,Middle mileage,Average rarity
8366,Renault,Megane,2010,Hatchback,210000.0,1500.0,Diesel,Manual,5500.0,12,17500.0,Middle mileage,Average rarity
8367,Dacia,Duster,2010,Hatchback,170000.0,1500.0,Diesel,Manual,7500.0,12,14166.666666666666,Middle mileage,Average rarity
8368,Skoda,Superb,2015,Sedan,166000.0,2000.0,Diesel,Automatic,18500.0,7,23714.285714285714,High mileage,Average rarity
8369,Opel,Corsa,2012,Sedan,194000.0,1300.0,Diesel,Manual,5000.0,10,19400.0,Middle mileage,Average rarity
8370,Ford,Focus,2015,Minivan,180000.0,1500.0,Diesel,Manual,7800.0,7,25714.285714285714,High mileage,Average rarity
8371,Opel,Ascona,1984,Sedan,200000.0,1600.0,Petrol,Manual,11000.0,38,5263.1578947368425,Middle mileage,Average rarity
8372,Toyota,Prius,2011,Hatchback,111111.0,1800.0,Petrol,Automatic,7300.0,11,10101.0,Middle mileage,Average rarity
8373,Lexus,Es Series,2003,Sedan,161000.0,3000.0,Petrol,Automatic,6500.0,19,8473.684210526315,Middle mileage,Average rarity
8374,Skoda,Superb,2009,Sedan,230000.0,1400.0,Petrol,Manual,7900.0,13,17692.30769230769,Middle mileage,Average rarity
8375,Dacia,Logan,2009,Sedan,247355.0,1400.0,Metan/Propan,Manual,2900.0,13,19027.30769230769,Middle mileage,Average rarity
8376,Opel,Antara,2015,Microvan,150200.0,2200.0,Diesel,Automatic,7555.0,7,21457.14285714286,High mileage,Average rarity
8377,BMW,5 Series,2004,Sedan,310000.0,2500.0,Diesel,Automatic,8300.0,18,17222.222222222223,Middle mileage,Average rarity
8378,Toyota,Prius c,2014,Hatchback,112000.0,1500.0,Hybrid,Automatic,7499.0,8,14000.0,Middle mileage,Average rarity
8379,BMW,X5,2005,SUV,280000.0,3000.0,Metan/Propan,Automatic,6949.0,17,16470.58823529412,Middle mileage,Average rarity
8380,Mercedes,Vito,2013,Microvan,115000.0,2200.0,Diesel,Manual,12700.0,9,12777.777777777777,Middle mileage,Average rarity
8381,Mercedes,CLS Class,2012,Universal,214000.0,2500.0,Diesel,Automatic,22222.0,10,21400.0,High mileage,Average rarity
8382,Toyota,Prius c,2014,Hatchback,144000.0,1500.0,Hybrid,Automatic,7499.0,8,18000.0,Middle mileage,Average rarity
8383,Renault,Clio,2018,Universal,10500.0,1500.0,Diesel,Manual,8149.0,4,2625.0,Middle mileage,Average rarity
8384,BMW,X5,2016,SUV,140000.0,2000.0,Hybrid,Automatic,31499.0,6,23333.333333333332,High mileage,Average rarity
8385,Skoda,Fabia,2010,Universal,180000.0,1200.0,Diesel,Manual,4699.0,12,15000.0,Middle mileage,Average rarity
8386,Volkswagen,Golf,2011,Hatchback,154258.0,1200.0,Petrol,Manual,6900.0,11,14023.454545454546,Middle mileage,Average rarity
8387,Skoda,Octavia,2009,Sedan,221000.0,1400.0,Petrol,Manual,6500.0,13,17000.0,Middle mileage,Average rarity
8388,Nissan,Qashqai,2015,Crossover,135000.0,1598.0,Diesel,Automatic,15299.0,7,19285.714285714286,Middle mileage,Average rarity
8389,Mercedes,E Class,2004,Sedan,36500.0,3200.0,Diesel,Automatic,3450.0,18,2027.7777777777778,Middle mileage,Average rarity
8390,Skoda,Superb,2015,Sedan,192000.0,2000.0,Diesel,Automatic,17999.0,7,27428.571428571428,High mileage,Average rarity
8391,Mercedes,M Class,2014,SUV,95000.0,2500.0,Diesel,Automatic,27900.0,8,11875.0,Middle mileage,Average rarity
8392,Toyota,Corolla,2005,Hatchback,267000.0,1400.0,Diesel,Automatic,5100.0,17,15705.882352941177,Middle mileage,Average rarity
8393,Dacia,Duster,2012,SUV,200000.0,1500.0,Diesel,Manual,8000.0,10,20000.0,High mileage,Average rarity
8394,Zaz,968,1980,Sedan,999999.0,900.0,Petrol,Manual,370.0,42,23809.5,High mileage,Rare_Cheap
8395,BMW,5 Series,1994,Sedan,99999.0,2500.0,Petrol,Manual,1500.0,28,3571.3928571428573,Middle mileage,Average rarity
8396,Renault,Clio,1996,Hatchback,220000.0,1400.0,Petrol,Manual,750.0,26,8461.538461538461,Middle mileage,Average rarity
8397,Opel,Astra,2007,Universal,268333.0,1300.0,Diesel,Manual,3500.0,15,17888.866666666665,Middle mileage,Average rarity
8398,Ford,Focus,2000,Sedan,44444.0,2000.0,Petrol,Automatic,1500.0,22,2020.1818181818182,Middle mileage,Average rarity
8399,Toyota,Verso,2011,Minivan,175000.0,2000.0,Diesel,Manual,8999.0,11,15909.09090909091,Middle mileage,Average rarity
8400,Peugeot,207,2010,Hatchback,180000.0,1364.0,Diesel,Manual,4800.0,12,15000.0,Middle mileage,Rare_Cheap
8401,Mercedes,E Class,2014,Sedan,290000.0,2000.0,Metan/Propan,Automatic,15500.0,8,36250.0,High mileage,Average rarity
8402,Toyota,Auris,2014,Universal,189000.0,1400.0,Diesel,Manual,8199.0,8,23625.0,High mileage,Average rarity
8403,Skoda,Fabia,2009,Universal,201214.0,1400.0,Diesel,Manual,3950.0,13,15478.0,Middle mileage,Average rarity
8404,Volkswagen,Transporter,2001,SUV,280521.0,2500.0,Diesel,Manual,5300.0,21,13358.142857142857,Middle mileage,Average rarity
8405,BMW,3 Series,1992,Sedan,236765.0,1800.0,Petrol,Manual,2500.0,30,7892.166666666667,Middle mileage,Average rarity
8406,Skoda,Octavia,2016,Hatchback,214257.0,1600.0,Diesel,Automatic,11999.0,6,35709.5,High mileage,Average rarity
8407,Fiat,Doblo,2013,Universal,184000.0,1600.0,Diesel,Automatic,7700.0,9,20444.444444444445,High mileage,Rare_Cheap
8408,Mini,Countryman,2014,Crossover,79370.0,1775.0,Petrol,Manual,18000.0,8,9921.25,Middle mileage,Rare_Expensive
8409,Renault,Megane,2013,Universal,223446.0,1461.0,Diesel,Manual,6799.0,9,24827.333333333332,High mileage,Average rarity
8410,Mercedes,E Class,2000,Universal,240000.0,2400.0,Petrol,Manual,1299.0,22,10909.09090909091,Middle mileage,Average rarity
8411,Dacia,Logan,2015,Universal,62000.0,1200.0,Petrol,Manual,6400.0,7,8857.142857142857,Middle mileage,Average rarity
8412,Vaz,2121niva,2004,Minivan,58150.0,1700.0,Petrol,Manual,3300.0,18,3230.5555555555557,Middle mileage,Rare_Cheap
8413,Nissan,Qashqai+2,2010,SUV,179999.0,1500.0,Diesel,Manual,7999.0,12,14999.916666666666,Middle mileage,Average rarity
8414,Renault,Scenic,2011,Minivan,170000.0,1500.0,Diesel,Manual,5950.0,11,15454.545454545454,Middle mileage,Average rarity
8415,Volkswagen,Caddy,2013,Combi,240000.0,2000.0,Diesel,Manual,6950.0,9,26666.666666666668,High mileage,Average rarity
8416,Skoda,Superb,2020,Sedan,50000.0,2000.0,Petrol,Automatic,38000.0,2,25000.0,High mileage,Average rarity
8417,Fiat,Stilo,2004,Sedan,240000.0,1600.0,Petrol,Manual,3100.0,18,13333.333333333334,Middle mileage,Rare_Cheap
8418,Renault,Grand Scenic,2012,Minivan,170000.0,1500.0,Diesel,Manual,7000.0,10,17000.0,Middle mileage,Average rarity
8419,Vaz,2104,1995,Universal,240000.0,1500.0,Metan/Propan,Manual,1650.0,27,8888.888888888889,Middle mileage,Rare_Cheap
8420,Mercedes,Sl Class,1995,Coupe,354000.0,2800.0,Metan/Propan,Automatic,7777.0,27,13111.111111111111,Middle mileage,Average rarity
8421,Volvo,V60,2013,Universal,155000.0,2000.0,Diesel,Manual,14500.0,9,17222.222222222223,Middle mileage,Average rarity
8422,Nissan,Pathfinder,2006,SUV,220000.0,2500.0,Diesel,Manual,6200.0,16,13750.0,Middle mileage,Average rarity
8423,Peugeot,Expert,2003,Minivan,222222.0,2000.0,Diesel,Manual,1850.0,19,11695.894736842105,Middle mileage,Rare_Cheap
8424,Toyota,Auris,2013,Universal,143000.0,1800.0,Petrol,Automatic,9450.0,9,15888.888888888889,Middle mileage,Average rarity
8425,Volkswagen,Transporter,2005,Universal,160000.0,2400.0,Diesel,Manual,5438.0,17,9411.764705882353,Middle mileage,Average rarity
8426,BMW,5 Series,1995,Sedan,350000.0,1999.0,Petrol,Manual,2800.0,27,12962.962962962964,Middle mileage,Average rarity
8427,Volkswagen,Touran,2010,Minivan,201741.0,1400.0,Petrol,Manual,7199.0,12,16811.75,Middle mileage,Average rarity
8428,Mercedes,E Class,2007,Universal,278352.0,3000.0,Diesel,Automatic,5900.0,15,18556.8,Middle mileage,Average rarity
8429,Mercedes,CLA,2015,Sedan,78035.0,1991.0,Petrol,Automatic,15499.0,7,11147.857142857143,Middle mileage,Average rarity
8430,Vaz,2101,1989,Sedan,125000.0,1300.0,Petrol,Manual,7200.0,33,3787.878787878788,Middle mileage,Rare_Cheap
8431,BMW,5 Series,2017,Sedan,39000.0,2000.0,Diesel,Automatic,35500.0,5,7800.0,Middle mileage,Average rarity
8432,Dacia,Sandero,2010,Hatchback,238000.0,1500.0,Diesel,Manual,4050.0,12,19833.333333333332,Middle mileage,Average rarity
8433,Skoda,Fabia,2015,Universal,160000.0,1400.0,Diesel,Manual,7000.0,7,22857.14285714286,High mileage,Average rarity
8434,Audi,100,1992,Sedan,35000.0,2500.0,Diesel,Manual,3350.0,30,1166.6666666666667,Middle mileage,Average rarity
8435,Toyota,Auris,2007,Hatchback,205000.0,1400.0,Diesel,Manual,5500.0,15,13666.666666666666,Middle mileage,Average rarity
8436,Toyota,Avensis,2012,Sedan,175660.0,2000.0,Diesel,Manual,11300.0,10,17566.0,Middle mileage,Average rarity
8437,Skoda,Rapid,2015,Sedan,210000.0,1400.0,Diesel,Manual,7800.0,7,30000.0,High mileage,Average rarity
8438,Mercedes,Series (W124),1993,Sedan,308500.0,200.0,Metan/Propan,Manual,2600.0,29,10637.931034482759,Middle mileage,Average rarity
8439,BMW,5 Series,2011,Sedan,203000.0,2000.0,Diesel,Automatic,18400.0,11,18454.545454545456,Middle mileage,Average rarity
8440,Dacia,Sandero,2009,Hatchback,130000.0,1400.0,Petrol,Manual,3499.0,13,10000.0,Middle mileage,Average rarity
