,Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Distance_category,Rarity_Price
367,Lexus,RX Series,2005,SUV,178000.0,2989.0,Metan/Propan,Automatic,9800.0,17,10470.588235294117,Middle mileage,Average rarity
368,Chevrolet,Captiva,2011,Crossover,90000.0,2200.0,Diesel,Automatic,13300.0,11,8181.818181818182,Middle mileage,Rare_Expensive
369,Toyota,Avensis,2014,Sedan,143000.0,2000.0,Diesel,Manual,11700.0,8,17875.0,Middle mileage,Average rarity
370,Mercedes,GLE Coupe,2017,SUV,47000.0,3000.0,Petrol,Automatic,54000.0,5,9400.0,Middle mileage,Average rarity
371,Mercedes,E Class,2008,Sedan,230000.0,1800.0,Metan/Propan,Automatic,7800.0,14,16428.571428571428,Middle mileage,Average rarity
372,Saab,9-3,2007,Sedan,194777.0,2000.0,Petrol,Automatic,5000.0,15,12985.133333333333,Middle mileage,Rare_Cheap
373,Skoda,Octavia,2008,Universal,200000.0,1900.0,Diesel,Manual,5000.0,14,14285.714285714286,Middle mileage,Average rarity
374,Toyota,Prius v,2016,Hatchback,144000.0,1800.0,Hybrid,Automatic,12300.0,6,24000.0,High mileage,Average rarity
375,Volvo,Altele,1995,Hatchback,5000.0,2400.0,Diesel,Manual,1700.0,27,185.1851851851852,Middle mileage,Average rarity
376,Mercedes,E Class,2002,Sedan,256000.0,2700.0,Diesel,Automatic,5500.0,20,12800.0,Middle mileage,Average rarity
377,BMW,X5,2005,SUV,193000.0,3000.0,Diesel,Automatic,11850.0,17,11352.941176470587,Middle mileage,Average rarity
378,Opel,Astra,2006,Hatchback,250000.0,1300.0,Diesel,Manual,4500.0,16,15625.0,Middle mileage,Average rarity
379,Volkswagen,Jetta,2015,Sedan,173000.0,1400.0,Petrol,Automatic,8600.0,7,24714.285714285714,High mileage,Average rarity
380,BMW,X5,2015,SUV,185000.0,2999.0,Diesel,Automatic,34000.0,7,26428.571428571428,High mileage,Average rarity
381,Toyota,Land Cruiser Prado,2006,SUV,220000.0,2700.0,Metan/Propan,Automatic,13500.0,16,13750.0,Middle mileage,Average rarity
382,Nissan,Micra,2018,Hatchback,95000.0,900.0,Petrol,Manual,10500.0,4,23750.0,High mileage,Average rarity
383,Hyundai,Santa FE,2011,Crossover,169000.0,2200.0,Diesel,Automatic,13990.0,11,15363.636363636364,Middle mileage,Average rarity
384,BMW,5 Series,2012,Sedan,200000.0,2000.0,Petrol,Automatic,11500.0,10,20000.0,High mileage,Average rarity
385,KIA,Optima,2014,Sedan,60000.0,2000.0,Metan/Propan,Automatic,9900.0,8,7500.0,Middle mileage,Average rarity
